kanwil,nama_upt
Papua,LAPAS KELAS III TANAH MERAH
Papua,LAPAS PEREMPUAN KELAS III JAYAPURA
Papua,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II JAYAPURA
Papua Barat,BAPAS KELAS I MANOKWARI
Papua Barat,BAPAS KELAS II SORONG
Papua Barat,LAPAS KELAS IIB FAK-FAK
Papua Barat,LAPAS KELAS IIB MANOKWARI
Papua Barat,LAPAS KELAS IIB SORONG
Papua Barat,LAPAS KELAS III KAIMANA
Papua Barat,LAPAS KELAS III TEMINABUHAN
Papua Barat,LAPAS PEREMPUAN KELAS III MANOKWARI
Papua Barat,RUTAN KELAS IIB BINTUNI
Riau,BAPAS KELAS I PEKANBARU
Riau,BAPAS KELAS II DUMAI
Riau,LAPAS KELAS IIA BAGAN SIAPI-API
Riau,LAPAS KELAS IIA BANGKINANG
Riau,LAPAS KELAS IIA BENGKALIS
Riau,LAPAS KELAS IIA PEKANBARU
Riau,LAPAS KELAS IIA TEMBILAHAN
Riau,LAPAS KELAS IIB PASIR PANGARAYAN
Riau,LAPAS KELAS IIB SELATPANJANG
Riau,LAPAS KELAS IIB TELUK KUANTAN
Riau,LAPAS KELAS III TERBUKA RUMBAI
Riau,LAPAS NARKOTIKA KELAS IIB RUMBAI
Riau,LAPAS PEREMPUAN KELAS IIA PEKANBARU
Riau,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PEKANBARU
Riau,RUTAN KELAS I PEKANBARU
Riau,RUTAN KELAS IIB DUMAI
Riau,RUTAN KELAS IIB RENGAT
Riau,RUTAN KELAS IIB SIAK SRI INDRAPURA
Sulawesi Barat,BAPAS KELAS II POLEWALI
Sulawesi Barat,LAPAS KELAS IIB POLEWALI
Sulawesi Barat,LAPAS KELAS III MAMASA
Sulawesi Barat,LAPAS PEREMPUAN KELAS III MAMUJU
Sulawesi Barat,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II MAMUJU
Sulawesi Barat,RUTAN KELAS IIB MAJENE
Sulawesi Barat,RUTAN KELAS IIB MAMUJU
Sulawesi Barat,RUTAN KELAS IIB PASANG KAYU
Sulawesi Selatan,BAPAS KELAS I MAKASSAR
Sulawesi Selatan,BAPAS KELAS II PALOPO
Sulawesi Selatan,BAPAS KELAS II WATAMPONE
Sulawesi Selatan,LAPAS KELAS I UJUNG PANDANG
Sulawesi Selatan,LAPAS KELAS IIA BULUKUMBA
Sulawesi Selatan,LAPAS KELAS IIA NARKOTIKA SUNGGUMINASA
Sulawesi Selatan,LAPAS KELAS IIA PALOPO
Sulawesi Selatan,LAPAS KELAS IIA PARE-PARE
Sulawesi Selatan,LAPAS KELAS IIA PEREMPUAN SUNGGUMINASA
Sulawesi Selatan,LAPAS KELAS IIA WATAMPONE
Sulawesi Selatan,LAPAS KELAS IIB MAROS
Sulawesi Selatan,LAPAS KELAS IIB TAKALAR
